"student","friends","CL","prior","social","delta","midterm","final_exam","final_grade","precourse.score"
122,"No",TRUE,"college",TRUE,-0.02,0.46,0.44,0.661,0.571
123,"Yes",FALSE,"college",TRUE,0.035,0.905,0.94,0.961,0.952
124,"No",FALSE,"none",FALSE,-0.03,0.94,0.91,0.961,0.095
125,"Yes",FALSE,"none",TRUE,-0.08,0.95,0.87,0.926,0.524
126,"Yes",TRUE,"none",TRUE,0.13,0.77,0.9,0.867,0.381
127,"Yes",FALSE,"college",TRUE,-0.185,0.9,0.715,0.854,0.667
128,"Yes",FALSE,"none",TRUE,0.39,0.45,0.84,0.866,0.524
129,"Yes",FALSE,"college",TRUE,-0.06,0.9,0.84,0.876,0.571
130,"No",TRUE,"college",TRUE,-0.15,1,0.85,0.953,0.857
131,"Yes",TRUE,"college",TRUE,0.085,0.885,0.97,0.977,0.429
132,"Yes",TRUE,"college",TRUE,0.015,0.945,0.96,0.959,0.81
133,"No",TRUE,"college",TRUE,-0.06,0.99,0.93,0.969,0.81
134,"Yes",TRUE,"highschool",TRUE,-0.04,0.87,0.83,0.908,0.857
135,"Yes",TRUE,"none",TRUE,0.125,0.33,0.455,0.589,0.619
136,"Yes",FALSE,"none",TRUE,0.18,0.81,0.99,0.928,0.571
137,"No",TRUE,"college",TRUE,0.345,0.57,0.915,0.911,0.429
138,"Yes",TRUE,"none",TRUE,0.115,0.9,1.015,0.977,0.619
139,"No",TRUE,"highschool",TRUE,0.05,0.75,0.8,0.884,0.571
140,"Yes",TRUE,"none",TRUE,0.04,0.66,0.7,0.747,0.476
141,"No",TRUE,"none",FALSE,0.18,0.69,0.87,0.876,0.571
142,"Yes",FALSE,"none",TRUE,0.01,1,1.01,0.961,0.714
143,"Yes",FALSE,"none",TRUE,0.01,0.91,0.92,0.952,0.81
144,"No",FALSE,"college",TRUE,-0.07,0.96,0.89,0.936,0.762
145,"No",TRUE,"highschool",TRUE,0.3,0.68,0.98,0.95,0.571
146,"No",TRUE,"none",TRUE,-0.25,0.71,0.46,0.74,0.81
147,"No",TRUE,"highschool",FALSE,-0.13,0.67,0.54,0.739,0.429
148,"No",TRUE,"none",TRUE,0.065,0.91,0.975,0.956,0.095
149,"No",TRUE,"highschool",FALSE,-0.035,0.97,0.935,0.927,0.667
150,"No",FALSE,"college",FALSE,0.04,0.8,0.84,0.862,0.667
151,"No",FALSE,"college",TRUE,0.145,0.565,0.71,0.837,0.476
152,"Yes",TRUE,"college",FALSE,0.095,0.87,0.965,0.945,0.762
153,"Yes",FALSE,"college",FALSE,-0.08,0.94,0.86,0.936,0.619
154,"Yes",FALSE,"none",TRUE,0.03,0.96,0.99,0.971,0.762
155,"Yes",FALSE,"college",TRUE,0.205,0.115,0.32,0.467,0.667
156,"Yes",TRUE,"highschool",TRUE,-0.03,0.97,0.94,0.929,0.762
157,"No",FALSE,"college",TRUE,0.03,0.81,0.84,0.864,0.238
158,"No",TRUE,"none",TRUE,-0.54,0.89,0.35,0.772,0.429
159,"Yes",FALSE,"college",TRUE,0.02,0.95,0.97,0.972,0.667
160,"Yes",FALSE,"highschool",TRUE,0.04,0.89,0.93,0.955,0.476
161,"Yes",FALSE,"none",TRUE,0.01,0.91,0.92,0.941,0.619
162,"Yes",FALSE,"highschool",TRUE,0.07,0.92,0.99,0.965,0.667
163,"No",FALSE,"highschool",TRUE,0.09,0.84,0.93,0.942,0.619
164,"Yes",FALSE,"college",TRUE,0.065,0.85,0.915,0.945,0.381
165,"No",TRUE,"highschool",TRUE,-0.01,0.87,0.86,0.927,0.571
166,"Yes",TRUE,"highschool",TRUE,0.14,0.77,0.91,0.937,0.905
167,"No",TRUE,"none",FALSE,0.01,0.95,0.96,0.951,0.571
168,"Yes",FALSE,"highschool",TRUE,-0.055,0.93,0.875,0.917,0.667
169,"No",FALSE,"none",FALSE,-0.11,1,0.89,0.961,0.19
170,"Yes",FALSE,"college",TRUE,0.02,0.96,0.98,0.975,0.857
171,"No",TRUE,"none",FALSE,0.26,0.66,0.92,0.894,0.619
172,"Yes",TRUE,"none",FALSE,-0.05,0.98,0.93,0.943,0.905
173,"No",FALSE,"none",TRUE,0.35,0.53,0.88,0.874,0.429
174,"Yes",FALSE,"college",TRUE,0.33,0.66,0.99,0.91,0.524
175,"No",FALSE,"college",TRUE,0.12,0.73,0.85,0.866,0.619
176,"Yes",FALSE,"college",TRUE,-0.005,0.83,0.825,0.881,0.762
177,"No",FALSE,"none",TRUE,-0.01,1,0.99,0.974,0.667
178,"Yes",TRUE,"highschool",FALSE,0.1,0.88,0.98,0.958,0.81
179,"No",TRUE,"none",FALSE,-0.085,0.98,0.895,0.958,0.571
180,"No",TRUE,"college",FALSE,0.085,0.735,0.82,0.881,0.571
181,"Yes",TRUE,"college",TRUE,0.12,0.76,0.88,0.916,0.286
182,"No",TRUE,"highschool",TRUE,0.07,0.91,0.98,0.971,0.381
183,"Yes",FALSE,"college",FALSE,0.06,0.59,0.65,0.8,0.619
184,"Yes",TRUE,"highschool",TRUE,0.045,0.825,0.87,0.931,0.857
185,"Yes",FALSE,"none",FALSE,0.05,0.79,0.84,0.843,0.714
186,"Yes",TRUE,"college",TRUE,0,0.95,0.95,0.968,0.762
187,"Yes",TRUE,"highschool",FALSE,-0.015,0.59,0.575,0.753,0.619
188,"Yes",FALSE,"highschool",TRUE,0.03,0.87,0.9,0.924,0.857
189,"Yes",FALSE,"college",TRUE,0.06,0.95,1.01,0.991,0.905
190,"Yes",FALSE,"college",TRUE,-0.06,0.87,0.81,0.905,0.619
191,"Yes",FALSE,"none",TRUE,-0.06,0.94,0.88,0.938,0.714
192,"Yes",FALSE,"college",TRUE,0.095,0.545,0.64,0.768,0.619
193,"No",TRUE,"college",FALSE,-0.05,0.82,0.77,0.89,0.857
194,"Yes",FALSE,"highschool",TRUE,0.25,0.75,1,0.962,0.619
195,"Yes",FALSE,"college",TRUE,-0.035,0.93,0.895,0.954,0.619
196,"Yes",TRUE,"college",TRUE,-0.22,0.94,0.72,0.852,0.762
197,"Yes",FALSE,"none",TRUE,0.09,0.89,0.98,0.974,0.619
198,"No",FALSE,"none",TRUE,-0.71,0.71,0,0.619,0.429
199,"Yes",TRUE,"none",TRUE,0.24,0.68,0.92,0.909,0.81
200,"Yes",FALSE,"none",TRUE,0.09,0.85,0.94,0.941,0.667
201,"Yes",TRUE,"highschool",TRUE,-0.01,0.87,0.86,0.933,0.714
202,"No",FALSE,"college",TRUE,-0.06,0.95,0.89,0.908,0.667
203,"No",TRUE,"highschool",FALSE,-0.025,0.58,0.555,0.396,0.571
204,"No",TRUE,"highschool",TRUE,0.06,0.74,0.8,0.888,0.476
205,"No",FALSE,"none",TRUE,0.1,0.74,0.84,0.874,0.19
206,"No",FALSE,"college",TRUE,-0.06,1,0.94,0.929,0.19
207,"Yes",FALSE,"highschool",FALSE,0.095,0.59,0.685,0.659,0.619
208,"No",TRUE,"highschool",FALSE,0.205,0.615,0.82,0.852,0.619
209,"Yes",TRUE,"college",TRUE,-0.04,0.83,0.79,0.876,0.762
210,"Yes",TRUE,"none",TRUE,-0.005,0.765,0.76,0.87,0.667
211,"Yes",FALSE,"highschool",TRUE,-0.055,0.715,0.66,0.824,0.571
212,"Yes",FALSE,"college",TRUE,0.135,0.81,0.945,0.958,0.762
213,"No",TRUE,"none",TRUE,0.07,0.74,0.81,0.841,0.286
214,"Yes",TRUE,"none",TRUE,0.02,0.66,0.68,0.837,0.714
215,"No",FALSE,"none",TRUE,0.125,0.45,0.575,0.78,0.619
216,"Yes",FALSE,"none",TRUE,-0.085,0.92,0.835,0.932,0.714
217,"No",FALSE,"college",TRUE,0.165,0.74,0.905,0.927,0.762
218,"Yes",FALSE,"college",TRUE,0.115,0.65,0.765,0.833,0.571
219,"Yes",TRUE,"highschool",TRUE,-0.01,0.82,0.81,0.875,0.381
220,"Yes",FALSE,"highschool",TRUE,0.04,0.76,0.8,0.871,0.524
221,"No",FALSE,"highschool",TRUE,-0.055,0.84,0.785,0.901,0.667
222,"No",FALSE,"none",TRUE,-0.08,0.91,0.83,0.914,0.667
223,"No",FALSE,"highschool",TRUE,0.29,0.49,0.78,0.849,0.286
224,"Yes",FALSE,"none",TRUE,-0.05,1,0.95,0.972,0.476
225,"No",TRUE,"highschool",TRUE,-0.015,0.92,0.905,0.944,0.714
226,"Yes",FALSE,"none",TRUE,0,0.71,0.71,0.834,0.571
227,"Yes",TRUE,"none",TRUE,0.35,0.44,0.79,0.832,0.619
228,"No",TRUE,"highschool",TRUE,-0.11,0.9,0.79,0.89,0.857
229,"No",FALSE,"college",TRUE,0.245,0.705,0.95,0.941,0.857
230,"Yes",FALSE,"college",TRUE,0,0.75,0.75,0.868,0.571
231,"Yes",FALSE,"none",TRUE,0.07,0.82,0.89,0.898,0.857
232,"No",FALSE,"highschool",FALSE,0.05,0.65,0.7,0.764,0.476
233,"No",FALSE,"college",TRUE,0.03,0.95,0.98,0.976,0.857
234,"No",TRUE,"college",TRUE,-0.05,0.74,0.69,0.715,0.762
235,"Yes",TRUE,"highschool",FALSE,0.17,0.73,0.9,0.911,0.714
236,"No",FALSE,"none",TRUE,0.085,0.66,0.745,0.842,0.619
237,"No",FALSE,"highschool",TRUE,0.11,0.86,0.97,0.966,0.571
238,"Yes",FALSE,"highschool",TRUE,-0.035,0.99,0.955,0.982,0.905
239,"Yes",TRUE,"college",TRUE,0.2,0.73,0.93,0.933,0.714
240,"Yes",FALSE,"college",TRUE,0.43,0.42,0.85,0.817,0.429
241,"Yes",FALSE,"none",TRUE,0.06,0.86,0.92,0.923,0.476
242,"No",FALSE,"college",TRUE,0.1,0.89,0.99,0.949,0.667
243,"Yes",TRUE,"highschool",TRUE,0,0.83,0.83,0.907,0.048
244,"Yes",TRUE,"none",TRUE,-0.63,0.63,0,0.616,0.429
245,"No",TRUE,"none",FALSE,0.325,0.475,0.8,0.824,0.619
246,"Yes",FALSE,"none",TRUE,0.25,0.57,0.82,0.876,0.762
247,"Yes",TRUE,"none",TRUE,0.185,0.62,0.805,0.87,0.714
248,"Yes",FALSE,"college",TRUE,0.03,0.79,0.82,0.895,0.667
249,"Yes",TRUE,"none",TRUE,-0.22,0.69,0.47,0.752,0.19
250,"Yes",TRUE,"none",TRUE,0.005,0.95,0.955,0.952,0.286
251,"Yes",FALSE,"none",TRUE,0.5,0,0.5,0.699,0.429
252,"Yes",FALSE,"college",TRUE,-0.18,0.86,0.68,0.831,0.667
253,"Yes",FALSE,"college",TRUE,0.13,0.57,0.7,0.795,0.429
254,"No",TRUE,"none",TRUE,0.06,0.91,0.97,0.977,0.714
255,"Yes",FALSE,"college",TRUE,0.08,0.85,0.93,0.953,0.524
256,"No",TRUE,"highschool",TRUE,0.22,0.63,0.85,0.87,0.81
257,"Yes",TRUE,"none",TRUE,0.08,0.94,1.02,0.99,0.667
258,"Yes",TRUE,"highschool",TRUE,-0.025,0.72,0.695,0.832,0.476
259,"No",FALSE,"none",TRUE,0.1,0.85,0.95,0.961,0.762
260,"No",FALSE,"college",TRUE,-0.125,0.64,0.515,0.676,0.762
261,"Yes",FALSE,"none",TRUE,0.07,0.79,0.86,0.913,0.429
262,"Yes",TRUE,"college",TRUE,0.035,0.89,0.925,0.962,0.095
263,"No",TRUE,"college",TRUE,0.35,0.57,0.92,0.922,0.81
264,"No",TRUE,"highschool",TRUE,0.085,0.87,0.955,0.927,0.81
265,"Yes",FALSE,"highschool",TRUE,0.125,0.185,0.31,0.613,0.619
266,"No",TRUE,"college",TRUE,0.165,0.535,0.7,0.75,0.429
267,"Yes",FALSE,"college",TRUE,0.235,0.53,0.765,0.848,0.524
268,"No",FALSE,"college",TRUE,-0.08,0.94,0.86,0.919,0.619
269,"Yes",FALSE,"college",TRUE,0.04,0.95,0.99,0.978,0.905
270,"No",FALSE,"none",TRUE,-0.04,1,0.96,0.982,0.429
271,"Yes",FALSE,"college",TRUE,0.155,0.725,0.88,0.879,0.667
272,"No",TRUE,"college",FALSE,0.46,0.35,0.81,0.768,0.524
273,"Yes",TRUE,"none",TRUE,0.16,0.68,0.84,0.866,0.619
274,"Yes",FALSE,"college",FALSE,0.21,0.45,0.66,0.787,0.524
275,"No",TRUE,"none",TRUE,0.44,0.55,0.99,0.937,0.381
276,"Yes",FALSE,"none",FALSE,-0.08,1,0.92,0.957,0.952
277,"Yes",FALSE,"none",FALSE,-0.09,0.85,0.76,0.89,0.667
